"[221, 43, 60, 5, -4, 3, 666]",1611057863.pickle,101,1143.3,0
"[193, 132, 60, 7, -9, 3, 398]",1611060268.pickle,101,1092.2,0
"[247, 87, 60, 10, -4, 3, 764]",1611061006.pickle,101,869.6,7
"[220, 148, 60, 10, -4, 3, 947]",1611061157.pickle,101,930.2,1
"[204, 119, 60, 10, -4, 3, 689]",1611062918.pickle,101,899.9,2
"[170, 75, 60, 7, -10, 3, 431]",1611063162.pickle,101,1011.4,3
"[164, 194, 60, 5, -10, 3, 751]",1611064981.pickle,101,1446.3,2
"[200, 1, 60, 5, -9, 3, 723]",1611065277.pickle,101,1062.5,2
"[212, 194, 60, 11, -6, 3, 543]",1611065426.pickle,101,940.2,0
"[220, 159, 60, 8, -7, 3, 600]",1611065613.pickle,101,1051.7,0
"[165, 155, 60, 9, -7, 3, 894]",1611065779.pickle,101,990.9,0
"[239, 190, 60, 12, -6, 3, 512]",1611065914.pickle,101,899.7,0
"[223, 97, 60, 5, -6, 3, 808]",1611067562.pickle,101,1254.4,0
"[231, 83, 60, 12, -10, 3, 880]",1611067905.pickle,101,808.8,5
"[210, 2, 60, 4, -11, 3, 382]",1611068152.pickle,101,1204.4,1
